localword,words,type
107th ave_0,"['Off-ramp closed in #MiamiDade on SR-836 Dolphin Expy EB at NW 107th Ave #SFLtraffic https://t.co/US2j7Ix0rb', '#Repost @tu949fm ? A comer en @cubanguys ahora en Sunset Drive SW 107th ave!! Llega ya y… https://t.co/xZM6gLQyBG']",topic 1
10below_0,"['??? #10below #icecream #foodporn @ 10Below Ice Cream https://t.co/DRXOasAPgF', '@10belowicecream reimagining all your ice cream fantasies one tasty roll at a time ? @ 10Below… https://t.co/rcsHB7kCWp']",topic 13
125th st_0,"['My todo list for to starts with thanking God for my blessings.??? @ Harlem USA 125th St https://t.co/TYXezgTFqy', 'Police everywhere in NYC today #newyork @ Harlem USA 125th St https://t.co/LuHJQoWZHt', ""Ni's 90s Hip Hop Birthday Party @ Harlem USA 125th St https://t.co/usocgfO2Sp"", ""I'm at @MTA Subway - 125th St (4/5/6) in New York, NY https://t.co/roYp5r3hrq"", '@SexyJudy @djmikeneeze Thursday 9/29/16 F.D.R baby Eastside water ??????? @ Harlem USA 125th St https://t.co/FfJTHzEqf3', 'Absolutely no filter!!!! #NYCNights @ Harlem USA 125th St https://t.co/etEMm4bX74', '#mygirls #mylife.       HAPPY BIRTHDAY LEE @ Harlem USA 125th St https://t.co/o9APUVfCPW', 'Big Mack repping for #CamoSeason #CamoKing #BlueNosePitBull @ Harlem USA 125th St https://t.co/UAxYx60TBo', 'Operatic freestyle vocals over Kanye West,""POWER"". @ Harlem USA 125th St https://t.co/wLtdjblmYz', 'New Looks for FALL ?? @ Harlem USA 125th St https://t.co/nkCS5yJQrT', 'a beautiful dancing gilly bean awash in rosy light \r\n\r\n#fam #sunset #candid @ Harlem USA 125th St https://t.co/z13uxZZANp', 'Song of they day: "" We made it"" #tellemboy #aclassactny @ Harlem USA 125th St https://t.co/mOBWRO6sxx', ""&amp; that's a major ? @ Harlem USA 125th St https://t.co/tOXdZkFOLm"", 'My city bway @ Harlem USA 125th St https://t.co/7xvP6XqUNj', ""Some of Harlem's drummers. @ Harlem USA 125th St https://t.co/0eUcwaso5m"", '#tbt Black ink tattoo shop @blackink125th @ceaser_tattoo @ Harlem USA 125th St https://t.co/kxf7vQT2Ko']",topic 19
12s_2,"['Get it seahawks !!! #gameday #football #richardsherman #12s #legionofboom @ CenturyLink Field https://t.co/Gx9sfnO7RX', '#beattherams ????\r\nLove me some #seattleseahawks \r\n#football \r\n#12s\r\n#12thmanglam \r\n???????? @… https://t.co/s1nEpuR1vN', '@jrmyhiguchi hooked it up with t.rawls810 threads. #GoHawks #12thman #12s #100yrds plus. @… https://t.co/XxoP7TqBZy', ""Well, that's new! #12s #gohawks #breastcancerpink #bikelife @ KeyArena at Seattle Center https://t.co/4Me8Ngnfoo""]",topic 29
12south_0,"['#Pork and #cornbread and #beans and #slaw! So southern! @ Edleys Bar B Q 12South In Nashville https://t.co/cB9ckCbkyd', '$25 for $50 Certificate at Element Salon 12South. https://t.co/TPLFLhodvf', ""Fall spice sorghum bread for tonight's special!!! #12south #nashville #12s #locallygrowntunes… https://t.co/KK5f6dwFM9"", 'If only it would rain donuts in real life ? @ Five Daughters Bakery 12south https://t.co/n8lYj5TR0W']",topic 8
12thman_3,"[""Tailgating with my LA 12's ??? #12thman #seahawks #itshotherrre @… https://t.co/6uVGwEp1R3"", 'Russell going to work. Also; FOOTBALL IN LA!!!!!!!! #Seahawks #Rams #12thman #NFL @ Los Angeles… https://t.co/74V0H59vdt']",topic 29
137th ave_1,"['Accident in #SouthwestDade on Tamiami Trail WB at SW 137th Ave #SFLtraffic https://t.co/US2j7Ix0rb', ""I'm at SW 137th Ave &amp; SW 8th St in Tamiami, FL https://t.co/GKrh98C9fU https://t.co/jP793V1yaY""]",topic 1
14er_0,"['Cross another one off the list. Mount Quandary ? #mountquandary #14er #fourteener #colorado… https://t.co/LI4xHj3gBr', 'Whoop! Fall 14er! @ La Plata Peak https://t.co/xr7ZIosaMS', 'climbed another 14er this morning with some friends! @ Grays Peak https://t.co/gmoa8nBLE7', 'magical. #mtevans #colorado #14er @ Mount Evans https://t.co/fOS4DeiVjK', ""My first #14er this season and stela's first ever, she killed it!! #Colorado #mtdemocrat @ Mount… https://t.co/5yh9D5UhpL""]",topic 21
17miledrive_0,"['a scenic drive to end a perfect weekend get away to the bay area. #17miledrive @ Huckleberry… https://t.co/NXUiXopLGZ', 'Beautiful scenery! ? @ 17 mile drive! ? #17miledrive #pebblebeach #selfie #beautifulbeach @ 17… https://t.co/A6n5ihxZM8', 'No Caption Needed...! ?\r\n#awesome #tour #sanjose #17miledrive #beautiful #naturephotography… https://t.co/NZ84O1AAnA']",topic 1
20th century fox_0,"['Mah gurlzz @ 20th Century Fox https://t.co/0LpBLasg0n', 'Just another typical Sunday with my #girlsquad #nfl #football #rams ? @ 20th Century Fox https://t.co/V4OrkwFl0z', 'Foggy start to the morning at #Fox Studios. @ 20th Century Fox https://t.co/xNkCqcJDs5', 'Tune in for the Season 6 premiere of #NewGirl TONIGHT at 8pm!!! @ 20th Century Fox https://t.co/x4MdNYicpM', ""Chillin' on the imagined streets of NY on the Fox lot! @ 20th Century Fox https://t.co/Pu1RNqeh4x"", 'What a great day to be outside #foxstudios #mydayinla #california #conquer_la @ 20th Century Fox https://t.co/dtHaMdNMz1', 'Pretty quaint #foxstudios #mydayinla #california @ 20th Century Fox https://t.co/ai3g3y6Opw', 'A beautiful night at 20thcenturyfox @ 20th Century Fox https://t.co/DNV2gO9z3T', 'Work. #20thcenturyfox @ 20Th Century Fox Newman Scoring Stage https://t.co/NTdZcnL7Bk']",topic 29
