localword,words,type
107th ave_0,"[('ltraffic', 1), ('sw', 1)]",topic 1
10below_0,"[('ice', 2), ('cream', 2)]",topic 14
125th st_0,"[('thursday', 1), ('tbt', 1)]",topic 20
12s_2,"[('football', 2), ('beat', 1)]",topic 30
12south_0,"[('bread', 1), ('bakery', 1)]",topic 9
12thman_3,"[('tailgating', 1), ('nfl', 1), ('football', 1)]",topic 30
137th ave_1,"[('sw', 2), ('ltraffic', 1)]",topic 1
14er_0,"[('fall', 1), ('season', 1)]",topic 22
17miledrive_0,"[('drive', 2), ('tour', 1)]",topic 1
20th century fox_0,"[('nfl', 1), ('football', 1), ('season', 1)]",topic 30
23rd street station_0,"[('incident', 2), ('directions', 1), ('update', 1)]",topic 1
2blokesbrewing_0,"[('drinking', 2), ('brewing', 1)]",topic 14
2roadsbrewing_1,"[('drinking', 3), ('stout', 1)]",topic 14
2sp_0,"[('brewing', 2), ('drinking', 1)]",topic 14
30_0,"[('qb', 2), ('nfl', 1), ('football', 1)]",topic 30
34th street_0,"[('avenue', 1), ('bus', 1), ('incident', 1)]",topic 1
3floyds_0,"[('drinking', 1), ('brewing', 1), ('brewery', 1)]",topic 14
42northbrewing_0,"[('drinking', 2), ('ale', 1)]",topic 14
49ers_0,"[('nfl', 3), ('football', 2), ('opener', 2), ('stadium', 1)]",topic 30
53rd st_0,"[('delay', 1), ('ave', 1)]",topic 1
5th ave_0,"[('style', 1), ('fashion', 1), ('mens', 1)]",topic 24
69th_1,"[('coffee', 1), ('latte', 1)]",topic 14
69th regiment armory_0,"[('coffee', 3), ('espresso', 2)]",topic 14
a321_0,"[('airport', 2), ('airlines', 1), ('plane', 1)]",topic 7
a3c_0,"[('music', 2), ('festival', 1)]",topic 20
a7x_2,"[('awesome', 1), ('incredible', 1), ('amazing', 1)]",topic 20
abq_1,"[('bike', 2), ('ride', 1), ('fixie', 1)]",topic 19
acadianationalpark_1,"[('filter', 1), ('sunrise', 1)]",topic 22
ace hotel_0,"[('guy', 1), ('hey', 1)]",topic 20
acreativedc_1,"[('art', 2), ('piece', 1)]",topic 24
actress_7,"[('win', 1), ('winning', 1)]",topic 30
actress_8,"[('model', 2), ('photoshoot', 2)]",topic 24
actress_2,"[('award', 2), ('awards', 1)]",topic 17
adcolor_0,"[('goals', 1), ('squad', 1)]",topic 11
addison circle_0,"[('prost', 1), ('oktoberfest', 1)]",topic 14
adele_4,"[('amazing', 9), ('incredible', 2)]",topic 20
adeleconcert_0,"[('concert', 2), ('music', 1)]",topic 20
adelelive2016_2,"[('amazing', 4), ('incredible', 1)]",topic 20
adk_1,"[('lake', 1), ('nature', 1)]",topic 22
adpicsuf_0,"[('delta', 2), ('pi', 2), ('alpha', 2)]",topic 28
aerosmith_0,"[('music', 2), ('concert', 1)]",topic 20
africanamerican_1,"[('museum', 2), ('art', 1)]",topic 24
agourahill_0,"[('career', 4), ('arc', 4)]",topic 10
air canada_0,"[('america', 2), ('usa', 1)]",topic 22
air canada centre_1,"[('win', 2), ('beat', 2), ('fan', 1)]",topic 30
alcatraz_0,"[('travel', 1), ('usa', 1)]",topic 22
altamontespring_0,"[('career', 2), ('arc', 2)]",topic 10
amarachi_0,"[('drink', 1), ('beer', 1)]",topic 14
amc metreon_0,"[('screening', 1), ('movie', 1)]",topic 17
ame_0,"[('career', 2), ('arc', 2)]",topic 10
america stadium_0,"[('panthers', 3), ('nfl', 2)]",topic 30
american airline center_0,"[('rap', 1), ('hip', 1), ('hop', 1)]",topic 20
american museum_0,"[('museum', 1), ('art', 1)]",topic 24
american university_0,"[('college', 1), ('student', 1)]",topic 28
americanafest_0,"[('music', 1), ('album', 1)]",topic 20
ancaster_0,"[('career', 2), ('arc', 2)]",topic 10
anchor bar_0,"[('wing', 2), ('wings', 1)]",topic 14
andreabocelli_0,"[('guest', 2), ('special', 1)]",topic 20
angele_4,"[('museum', 2), ('history', 1)]",topic 24
angele_7,"[('golf', 4), ('club', 4)]",topic 16
angele_6,"[('nature', 1), ('trail', 1)]",topic 22
animal kingdom_0,"[('trip', 1), ('adventure', 1)]",topic 22
animalkingdom_0,"[('kingdom', 2), ('magic', 1)]",topic 4
antelope canyon_0,"[('trip', 1), ('explore', 1)]",topic 22
antelopecanyon_0,"[('filter', 1), ('gorgeous', 1)]",topic 22
antihero ipa_1,"[('drinking', 2), ('tap', 1), ('beer', 1)]",topic 14
apache cafe_1,"[('catch', 1), ('tomorrow', 1)]",topic 20
apple hill_0,"[('mother', 2), ('daughter', 1)]",topic 20
appstate_0,"[('nature', 1), ('lake', 1)]",topic 22
arbutus_0,"[('career', 2), ('arc', 2)]",topic 10
arcadian moon_0,"[('evening', 1), ('perfect', 1)]",topic 22
archangelsummit_0,"[('amazing', 1), ('incredible', 1), ('awesome', 1)]",topic 20
aria_0,"[('model', 2), ('fashion', 1)]",topic 24
aria_1,"[('lunch', 1), ('chicken', 1), ('pizza', 1)]",topic 14
arlingtonheight_0,"[('career', 2), ('arc', 2)]",topic 10
arlingtonva_0,"[('simon', 2), ('facilities', 1), ('customer', 1)]",topic 9
art prize_1,"[('art', 2), ('piece', 1)]",topic 24
artprize_1,"[('art', 3), ('museum', 1)]",topic 24
artprize2016_0,"[('art', 1), ('piece', 1)]",topic 24
artprize8_0,"[('art', 5), ('artist', 1)]",topic 24
ashe supply co_0,"[('latte', 1), ('coffee', 1)]",topic 14
aspens_2,"[('fall', 1), ('autumn', 1)]",topic 22
asseenincolumbus_3,"[('festival', 1), ('music', 1)]",topic 20
astrocreep_0,"[('fest', 2), ('music', 1)]",topic 20
atandt park_0,"[('win', 1), ('stadium', 1), ('fan', 1)]",topic 30
atandt stadium_1,"[('football', 1), ('nfl', 1), ('sunday', 1)]",topic 30
atl_11,"[('food', 1), ('lunch', 1), ('dinner', 1)]",topic 14
atl_17,"[('music', 6), ('concert', 1)]",topic 20
atl_18,"[('style', 1), ('fashion', 1)]",topic 24
atl_20,"[('music', 1), ('hip', 1)]",topic 20
atlanta area_0,"[('trainer', 1), ('training', 1)]",topic 11
atlanta hartsfield southwest airline_0,"[('bound', 1), ('airport', 1)]",topic 7
atlanta international airport_0,"[('hartsfield', 2), ('jackson', 2)]",topic 7
atlantafalcon_0,"[('sunday', 1), ('football', 1), ('nfl', 1)]",topic 30
atlantis_0,"[('care', 2), ('dialysis', 1), ('fresenius', 1)]",topic 9
atleat_0,"[('foodie', 1), ('salad', 1), ('food', 1)]",topic 14
attpark_0,"[('summer', 1), ('perfect', 1)]",topic 22
atx_6,"[('street', 3), ('art', 3), ('graffiti', 3), ('sidewalk', 1)]",topic 24
atx_7,"[('porn', 2), ('food', 2), ('yum', 1), ('eat', 1)]",topic 14
atx_8,"[('trail', 1), ('nature', 1)]",topic 22
atxeat_1,"[('gay', 1), ('insta', 1)]",topic 23
auburnhill_0,"[('career', 2), ('arc', 2)]",topic 10
aus_0,"[('airport', 2), ('international', 2), ('headed', 1)]",topic 7
austin country club_0,"[('shoes', 2), ('shoe', 1)]",topic 24
austintexas_2,"[('graffiti', 1), ('street', 1)]",topic 24
austintown_0,"[('store', 2), ('sale', 1), ('customer', 1)]",topic 9
austintx_2,"[('tap', 1), ('beer', 1)]",topic 14
avemaria_0,"[('engineer', 2), ('manufacturing', 1)]",topic 9
aventura_0,"[('career', 3), ('arc', 3)]",topic 10
avila_0,"[('lunch', 1), ('food', 1)]",topic 14
avl_1,"[('wedding', 1), ('congrats', 1)]",topic 20
ayso_1,"[('soccer', 2), ('fc', 1)]",topic 30
azcard_0,"[('football', 1), ('nfl', 1)]",topic 30
azcardinal_1,"[('stadium', 2), ('tailgating', 1)]",topic 30
badboyreunion_0,"[('vip', 2), ('lounge', 1)]",topic 20
badboyreunion_2,"[('concert', 2), ('arena', 1)]",topic 20
badboyreuniontour_0,"[('bad', 3), ('boy', 2)]",topic 20
badland_2,"[('hiking', 1), ('nature', 1)]",topic 22
